data_as_of,start_date,end_date,group,year,state,sex,age_group,covid_19_deaths,total_deaths,pneumonia_deaths,pneumonia_and_covid_19_deaths,influenza_deaths,pneumonia_influenza_or_covid_19_deaths,footnote,disease_category,prevalence_rate
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Louisiana,Female,55-64 years,"1,185","11,895","1,066",633,21,"1,637",,Diabetes,11.85
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Louisiana,Female,65-74 years,"1,814","18,705","1,643",962,18,"2,511",,Asthma,10.56
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Louisiana,Female,75-84 years,"2,151","23,248","1,908","1,063",25,"3,021",,Arthritis,22.81
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Louisiana,Female,85 years and over,"2,080","27,881","1,801",860,21,"3,041",,Hypertension,27.36
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,All Ages,"3,235","61,645","4,231",872,137,"6,727",,Arthritis,32.38
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,Under 1 year,,245,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,27.73
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,0-17 years,,423,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,12.27
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,1-4 years,0,44,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,35.34
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,5-14 years,,65,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,9.57
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,15-24 years,,416,,,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,5.45
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,18-29 years,,765,14,,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,29.39
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,25-34 years,17,"1,051",25,,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,14.27
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,30-39 years,31,"1,462",33,,,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,5.59
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,35-44 years,56,"1,797",53,16,,97,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,12.49
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,40-49 years,88,"2,109",81,27,,144,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,37.46
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,45-54 years,132,"2,987",143,37,,243,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,15.72
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,50-64 years,453,"9,270",566,134,14,899,,Arthritis,23.68
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,55-64 years,371,"7,424",467,111,11,738,,Arthritis,15.87
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,65-74 years,654,"12,232",893,224,19,"1,342",,Arthritis,25.18
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,75-84 years,958,"15,983","1,257",262,39,"1,989",,Arthritis,20.85
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,All Sexes,85 years and over,"1,038","19,401","1,382",214,52,"2,257",,Heart Disease,4.88
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,All Ages,"1,688","32,356","2,434",503,62,"3,678",,Obesity,33.69
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,Under 1 year,0,131,0,0,0,0,,Diabetes,10.43
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,0-17 years,,245,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,24.32
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,1-4 years,0,27,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,34.54
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,5-14 years,,41,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,3.57
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,15-24 years,,313,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,31.52
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,18-29 years,,563,10,,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,9.02
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,25-34 years,,760,14,0,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,4.14
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,30-39 years,15,"1,048",19,,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,28.47
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,35-44 years,36,"1,239",29,,,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,31.07
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,40-49 years,56,"1,387",39,14,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,4.35
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,45-54 years,85,"1,930",82,22,,148,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,6.07
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,50-64 years,293,"5,921",342,83,,561,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,16.96
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,55-64 years,238,"4,723",280,68,,457,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,30.71
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,65-74 years,401,"7,168",552,145,10,818,,Obesity,33.28
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,75-84 years,511,"8,338",746,159,21,"1,116",,Heart Disease,12.61
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Male,85 years and over,405,"7,686",725,99,15,"1,046",,Depression,17.15
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,All Ages,"1,547","29,289","1,797",369,75,"3,049",,Depression,24.87
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,Under 1 year,,114,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,23.42
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,0-17 years,,178,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,11.71
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,1-4 years,0,17,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,23.06
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,5-14 years,,24,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,34.13
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,15-24 years,,103,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,33.67
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,18-29 years,,202,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,32.48
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,25-34 years,,291,11,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,12.14
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,30-39 years,16,414,14,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,7.26
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,35-44 years,20,558,24,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,23.53
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,40-49 years,32,722,42,13,,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,19.06
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,45-54 years,47,"1,057",61,15,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,3.93
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,50-64 years,160,"3,349",224,51,,338,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,32.1
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,55-64 years,133,"2,701",187,43,,281,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,7.68
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,65-74 years,253,"5,064",341,79,,524,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,6.96
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,75-84 years,447,"7,645",511,103,18,873,,Arthritis,20.52
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maine,Female,85 years and over,633,"11,715",657,115,37,"1,211",,Arthritis,27.51
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,All Ages,"18,143","209,247","18,402","7,256",327,"29,572",,Arthritis,21.64
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,Under 1 year,10,"1,280",13,0,0,23,,Depression,16.77
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,0-17 years,29,"2,088",28,,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,4.28
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,1-4 years,,180,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,2.09
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,5-14 years,10,299,,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,10.4
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,15-24 years,44,"2,255",47,15,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,4.03
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,18-29 years,101,"4,226",114,35,,181,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,10.7
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,25-34 years,179,"5,237",176,64,,298,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,7.88
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,30-39 years,278,"6,385",265,102,12,453,,Obesity,27.57
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,35-44 years,426,"7,411",400,155,,680,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,36.49
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,40-49 years,648,"8,593",539,248,12,948,,Obesity,34.92
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,45-54 years,"1,027","11,846",860,417,20,"1,482",,Diabetes,12.34
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,50-64 years,"2,991","34,793","2,847","1,282",62,"4,604",,Asthma,9.06
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,55-64 years,"2,348","27,577","2,284","1,016",50,"3,657",,Asthma,8.83
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,65-74 years,"3,838","41,207","4,058","1,660",56,"6,288",,Arthritis,18.79
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,75-84 years,"4,799","50,574","5,105","2,008",81,"7,971",,Obesity,25.49
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,All Sexes,85 years and over,"5,459","61,381","5,446","1,920",95,"9,063",,Diabetes,6.17
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,All Ages,"9,534","107,474","9,876","3,948",151,"15,596",,Obesity,39.85
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,Under 1 year,,688,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,28.04
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,0-17 years,15,"1,176",16,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,7.22
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,1-4 years,,87,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,5.5
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,5-14 years,,163,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,30.86
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,15-24 years,24,"1,727",28,,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,2.43
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,18-29 years,63,"3,157",66,23,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,2.15
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,25-34 years,114,"3,728",102,44,,175,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,11.71
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,30-39 years,178,"4,358",159,66,,277,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,5.7
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,35-44 years,270,"4,842",238,100,,412,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,11.44
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,40-49 years,403,"5,505",311,147,,572,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,2.31
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,45-54 years,648,"7,440",524,264,13,915,,Obesity,39.13
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,50-64 years,"1,803","20,994","1,675",778,32,"2,723",,Hypertension,31.43
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,55-64 years,"1,394","16,515","1,321",598,25,"2,137",,Obesity,32.47
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,65-74 years,"2,151","23,148","2,293",929,20,"3,534",,Chronic Kidney Disease,3.8
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,75-84 years,"2,576","25,467","2,841","1,094",38,"4,361",,Arthritis,28.13
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Male,85 years and over,"2,345","23,669","2,515",910,40,"3,985",,Obesity,44.58
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,All Ages,"8,609","101,773","8,526","3,308",176,"13,976",,Depression,24.28
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,Under 1 year,,592,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,7.89
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,0-17 years,14,912,12,0,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,6.0
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,1-4 years,0,93,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,28.5
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,5-14 years,,136,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,5.57
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,15-24 years,20,528,19,,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,7.0
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,18-29 years,38,"1,069",48,12,0,74,,Hypertension,27.41
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,25-34 years,65,"1,509",74,20,,123,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,6.55
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,30-39 years,100,"2,027",106,36,,176,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,3.25
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,35-44 years,156,"2,569",162,55,,268,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,4.69
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,40-49 years,245,"3,088",228,101,,376,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,12.86
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,45-54 years,379,"4,406",336,153,,567,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,7.98
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,50-64 years,"1,188","13,799","1,172",504,30,"1,881",,Chronic Kidney Disease,6.55
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,55-64 years,954,"11,062",963,418,25,"1,520",,Obesity,28.89
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,65-74 years,"1,687","18,059","1,765",731,36,"2,754",,Hypertension,18.59
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,75-84 years,"2,223","25,107","2,264",914,43,"3,610",,Heart Disease,9.44
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Maryland,Female,85 years and over,"3,114","37,712","2,931","1,010",55,"5,078",,Cancer,6.9
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,All Ages,"21,286","240,422","20,840","8,700",557,"33,945",,Heart Disease,7.04
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,Under 1 year,,929,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,38.54
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,0-17 years,24,"1,603",35,,,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,17.95
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,1-4 years,,161,,0,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,36.97
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,5-14 years,10,280,18,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,8.67
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,15-24 years,27,"1,539",32,,,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,17.08
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,18-29 years,68,"3,020",59,24,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,27.45
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,25-34 years,126,"4,314",103,47,,190,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,32.06
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,30-39 years,175,"5,806",181,72,14,298,,Arthritis,31.51
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,35-44 years,243,"6,761",258,88,12,423,,Asthma,8.79
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,40-49 years,379,"7,763",358,140,15,610,,Obesity,43.28
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,45-54 years,666,"11,310",624,273,25,"1,041",,Hypertension,30.25
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,50-64 years,"2,345","33,944","2,493","1,104",69,"3,796",,Asthma,11.33
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,55-64 years,"1,908","26,842","2,080",924,54,"3,112",,Depression,25.73
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,65-74 years,"3,762","43,747","4,146","1,766",103,"6,242",,Obesity,34.81
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,75-84 years,"5,681","59,295","5,972","2,495",141,"9,292",,COPD,5.79
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,All Sexes,85 years and over,"8,852","85,244","7,596","3,094",203,"13,539",,Hypertension,30.51
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,All Ages,"10,906","121,239","11,337","4,862",262,"17,626",,Hypertension,32.96
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,Under 1 year,,531,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,9.38
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,0-17 years,14,938,21,,,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,39.57
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,1-4 years,,108,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,22.62
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,5-14 years,,148,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,7.84
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,15-24 years,19,"1,113",22,,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,4.95
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,18-29 years,43,"2,203",35,11,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,8.33
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,25-34 years,82,"3,022",60,28,,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,27.56
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,30-39 years,114,"3,926",113,47,,187,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,3.3
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,35-44 years,150,"4,505",162,55,,261,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,18.63
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,40-49 years,246,"5,076",217,88,,382,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,9.27
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,45-54 years,435,"7,169",371,178,13,641,,Heart Disease,9.02
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,50-64 years,"1,480","21,056","1,540",703,39,"2,354",,Obesity,34.97
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,55-64 years,"1,199","16,603","1,295",585,32,"1,939",,Obesity,38.84
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,65-74 years,"2,298","25,233","2,516","1,099",51,"3,765",,Hypertension,32.03
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,75-84 years,"3,096","30,231","3,351","1,419",68,"5,092",,Chronic Kidney Disease,2.99
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Male,85 years and over,"3,615","32,576","3,544","1,493",81,"5,739",,Depression,22.15
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Female,All Ages,"10,380","119,183","9,503","3,838",295,"16,319",,COPD,3.85
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Female,Under 1 year,,398,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,32.1
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Female,0-17 years,10,665,14,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,37.48
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Female,1-4 years,,53,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,5.19
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Female,5-14 years,,132,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,2.83
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Female,15-24 years,,426,10,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,18.94
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Female,18-29 years,25,817,24,13,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,6.78
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Female,25-34 years,44,"1,292",43,19,,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,24.41
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Female,30-39 years,61,"1,880",68,25,,111,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,12.19
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Massachusetts,Female,35-44 years,93,"2,256",96,33,,162,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,28.03
